2, 2
3, 3
4, 4
5, 5
6, 6
7, 7
8, 8
9, 9
10, 10
11, 11
12, 12
13, 13
14, 14
15, 15
16, 16
17, 17
18, 17
19, 18
20, 19
21, 9
22, 6
23, 6
24, 21
25, 22
26, 5
27, 5
28, 5
29, 26
30, 30
31, 28
32, 32
33, 33
34, 34
35, 6
36, 35
37, 6
38, 6
39, 6
40, 39
41, 40
42, 41
43, 6
44, 34
45, 33
46, 46
47, 45
48, 35
49, 49
50, 50
51, 51
