model,bias,rmse,mae
linear,0,1.149303915280929,0.9300260075958849
linear,1,1.0715211271330265,0.9081468203570967
ordinal,0,1.1821552079928492,0.9061881755962483
ordinal,1,1.1191619871883296,0.8951881755962483
knn,0,1.0800507650695113,0.8847849329177392
knn,1,0.9864598748965449,0.8487614985108132
